Year,Institution,Campus,Institution Size,Category,Location,Subcategory,Number
2001,Yale University,Main Campus,11136,Arrests,Noncampus,Illegal weapons possession,0
2002,Yale University,Main Campus,11378,Arrests,Noncampus,Illegal weapons possession,0
2003,Yale University,Main Campus,11471,Arrests,Noncampus,Illegal weapons possession,0
2004,Yale University,Main Campus,11441,Arrests,Noncampus,Illegal weapons possession,0
2005,Yale University,Main Campus,11483,Arrests,Noncampus,Illegal weapons possession,0
2006,Yale University,Main Campus,11415,Arrests,Noncampus,Illegal weapons possession,0
2007,Yale University,Main Campus,11454,Arrests,Noncampus,Illegal weapons possession,0
2008,Yale University,Main Campus,10192,Arrests,Noncampus,Illegal weapons possession,0
2009,Yale University,Main Campus,11593,Arrests,Noncampus,Illegal weapons possession,0
2010,Yale University,Main Campus,11701,Arrests,Noncampus,Illegal weapons possession,0
2011,Yale University,Main Campus,11875,Arrests,Noncampus,Illegal weapons possession,0
2012,Yale University,Main Campus,11906,Arrests,Noncampus,Illegal weapons possession,0
2013,Yale University,Main Campus,12109,Arrests,Noncampus,Illegal weapons possession,0
2014,Yale University,Main Campus,12336,Arrests,Noncampus,Illegal weapons possession,0
2015,Yale University,Main Campus,12385,Arrests,Noncampus,Illegal weapons possession,0
2016,Yale University,Main Campus,12458,Arrests,Noncampus,Illegal weapons possession,0
2017,Yale University,Main Campus,12974,Arrests,Noncampus,Illegal weapons possession,0
2001,Yale University,Main Campus,11136,Arrests,Noncampus,Drug law violations,0
2002,Yale University,Main Campus,11378,Arrests,Noncampus,Drug law violations,0
2003,Yale University,Main Campus,11471,Arrests,Noncampus,Drug law violations,0
2004,Yale University,Main Campus,11441,Arrests,Noncampus,Drug law violations,0
2005,Yale University,Main Campus,11483,Arrests,Noncampus,Drug law violations,0
2006,Yale University,Main Campus,11415,Arrests,Noncampus,Drug law violations,0
2007,Yale University,Main Campus,11454,Arrests,Noncampus,Drug law violations,0
2008,Yale University,Main Campus,10192,Arrests,Noncampus,Drug law violations,0
2009,Yale University,Main Campus,11593,Arrests,Noncampus,Drug law violations,0
2010,Yale University,Main Campus,11701,Arrests,Noncampus,Drug law violations,1
2011,Yale University,Main Campus,11875,Arrests,Noncampus,Drug law violations,1
2012,Yale University,Main Campus,11906,Arrests,Noncampus,Drug law violations,0
2013,Yale University,Main Campus,12109,Arrests,Noncampus,Drug law violations,0
2014,Yale University,Main Campus,12336,Arrests,Noncampus,Drug law violations,0
2015,Yale University,Main Campus,12385,Arrests,Noncampus,Drug law violations,5
2016,Yale University,Main Campus,12458,Arrests,Noncampus,Drug law violations,0
2017,Yale University,Main Campus,12974,Arrests,Noncampus,Drug law violations,0
2001,Yale University,Main Campus,11136,Arrests,Noncampus,Liquor law violations,0
2002,Yale University,Main Campus,11378,Arrests,Noncampus,Liquor law violations,0
2003,Yale University,Main Campus,11471,Arrests,Noncampus,Liquor law violations,0
2004,Yale University,Main Campus,11441,Arrests,Noncampus,Liquor law violations,0
